OTU_ID	E2	F2	G2	B1	D1	E1	G1	A2	C2	D2	E4	F4	G4	A3	C3	E3	G3	A4	C4	D4	E6	F7	B6	C6	D6	H4	B5	C5	D5	F5	H5	A6	A8	C8	F6	H6	B7	C7	E7	G7	Silva_tax	evalue_S	Greengenes_tax	evalue_G
OTU_33	2	0	0	0	0	0	0	0	0	1	4	1	3	0	6	16	147	138	17	2	1	17	0	0	0	1	0	3	154	279	37	3	36	22	0	0	0	12	44	138	"Bacteria; __Verrucomicrobia; __Opitutae; __vadinHA64; __f; __g"	1.00E-125	"k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]; f__[Cerasicoccaceae]; g__; s__"	4.00E-126
OTU_55	11	8	15	22	3	0	0	2	12	48	9	3	8	15	1	2	151	10	7	27	10	5	4	22	10	57	5	18	96	5	4	42	2	1	11	6	55	260	6	67	"Bacteria; __Proteobacteria; __Alphaproteobacteria; __Sphingomonadales; __Sphingomonadaceae; __Sphingomonas"	1.00E-132	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__"	3.00E-133
OTU_24	37	15	43	66	17	30	0	0	0	0	23	7	0	175	10	0	4	0	0	1	0	7	7	1	0	94	371	43	2	7	0	2	0	0	0	24	21	10	10	2	"Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Chitinophagaceae; __g"	1.00E-132	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"	3.00E-133
OTU_193	14	13	65	46	34	67	4	13	49	29	28	28	28	3	30	114	9	180	123	104	0	0	2	0	2	0	13	9	1	4	0	9	0	0	0	1	0	0	0	0	"Bacteria; __Actinobacteria; __Actinobacteria; __Frankiales; __Sporichthyaceae; __Candidatus_Planktophila"	1.00E-125	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__"	4.00E-126
OTU_29	0	1	1	2	2	0	0	0	1	0	96	65	43	4	13	2	42	0	15	23	2	8	41	31	62	7	61	30	90	13	5	27	56	45	120	16	5	13	13	30	"Bacteria; __Planctomycetes; __Planctomycetacia; __Planctomycetales; __Planctomycetaceae; __g"	1.00E-132	"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__"	3.00E-133
OTU_32	1	1	0	1	0	0	0	0	12	102	1	0	3	1	1	0	44	4	1	99	0	3	1	7	13	14	0	44	225	16	7	50	0	1	8	3	133	133	0	47	"Bacteria; __Proteobacteria; __Alphaproteobacteria; __Sphingomonadales; __Sphingomonadaceae; __Sphingobium"	1.00E-132	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__"	3.00E-133
OTU_23	8	1	22	0	0	0	0	0	0	0	7	17	196	0	0	0	2	13	1	0	89	10	0	1	245	1	0	0	0	0	0	1	80	177	0	0	0	0	0	32	"Bacteria; __Verrucomicrobia; __Opitutae; __vadinHA64; __f; __g"	1.00E-132	"k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]; f__[Cerasicoccaceae]; g__; s__"	2.00E-128
OTU_145	5	1	10	1	0	2	1	1	4	4	18	31	42	3	0	5	12	258	53	33	34	7	57	50	75	1	8	2	10	27	24	15	33	14	10	3	6	0	10	14	"Bacteria; __Proteobacteria; __Betaproteobacteria; __Methylophilales; __Methylophilaceae; __OM43_clade"	2.00E-130	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__; s__"	7.00E-131
OTU_321	6	0	3	3	0	1	0	0	3	0	49	88	169	11	0	0	92	4	2	2	18	8	16	7	10	146	4	16	57	92	7	6	0	0	8	3	1	4	6	6	"Bacteria; __Cyanobacteria; __Chloroplast; __Chloroplast; __Chloroplast; __Chloroplast"	5.00E-122	"k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Stramenopiles; f__; g__; s__"	2.00E-122
OTU_38	41	11	5	40	61	44	3	6	9	9	9	7	23	5	26	8	20	1	5	3	28	6	7	22	53	8	25	28	8	10	2	15	122	68	56	7	0	0	4	35	"Bacteria; __Proteobacteria; __Alphaproteobacteria; __Caulobacterales; __Caulobacteraceae; __Caulobacter"	1.00E-132	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__"	4.00E-126
