samples_available	date	env	fecha	month	h	sampling	sample_v	Anos_total	Ostr_total	anos_L	ostr_L	salinity	salinity_q	cond	temp	temp_q	pH	redox	od	chla	doy	doy_acc	doy_acc_mod	season	season_det	sampling_trip	coord
MON_43	both	22/2/13	z13_Salobral	22/2/13	feb-13	30	4	5	0	3	0	1	3.7	4_marine	35.6	10.1	cold	8.9	210	11.5	3.8	53	419	419	winter	winter	4	41.500283 N -0.141735 W
MON_44	both	23/2/13	8_Pito	23/2/13	feb-13	10	4	5	19	0	4	0	4.8	4_marine	53.4	1.5	freezing-cold	7.9	293.3	12.7	3.8	54	420	419	winter	winter	4	41.412818 N -0.153057 W
MON_45	both	23/2/13	5_Pez	23/2/13	feb-13	10	4	5	0	0	0	0	2.3	3_brackish	26.6	2	freezing-cold	8	285.5	12.5	2.1	54	420	419	winter	winter	4	41.378293 N -0.261327 W
MON_46	only_16S	23/2/13	4_Camaron	23/2/13	feb-13	30	4	8	1	0	0	0	3.1	4_marine	34.3	2.3	freezing-cold	8	288.5	12.4	1.8	54	420	419	winter	winter	4	41.403479 N -0.284693 W
MON_47	both	20/3/13	1_Guallar	20/3/13	mar-13	10	5	5	0	0	NA	NA	6.8	5_hypersaline	80.6	13.6	mild	8.2	245	10.3	5.9	79	445	445	winter	late-winter	5	41.411798 N -0.227378 W
MON_48	both	20/3/13	2_Pinol	20/3/13	mar-13	8	5	5	0	265	0	53	4	4_marine	49.6	15	mild	8.6	275	10.5	9.6	79	445	445	winter	late-winter	5	41.410267 N -0.256041 W
MON_5	both	12/11/12	6_Rollico	12/11/12	nov-12	10	1	6	400	1	67	0	1.1	2_slightly-brackish	11.6	12.5	mild	8.6	345	10.5	1.7	317	317	317	autumn	autumn	1	41.390249 N -0.295673 W
MON_50	both	20/3/13	4_Camaron	20/3/13	mar-13	20	5	14	0	80	0	6	3.2	4_marine	39.8	15.3	mild	8.4	288	10.3	5.7	79	445	445	winter	late-winter	5	41.403479 N -0.284693 W
MON_51	both	20/3/13	6_Rollico	20/3/13	mar-13	5	5	5	0	223	0	45	3.2	4_marine	40.3	15.4	mild	8.2	245	10	13.7	79	445	445	winter	late-winter	5	41.390249 N -0.295673 W
MON_52	both	20/3/13	7_Rebollon	20/3/13	mar-13	5	5	5	0	0	0	0	2.2	3_brackish	26.2	14.8	mild	9.1	258	10.5	13.2	79	445	445	winter	late-winter	5	41.377488 N -0.304309 W
MON_53	both	20/3/13	5_Pez	20/3/13	mar-13	5	5	6	0	100	0	17	4	4_marine	50.1	14	mild	8.3	303.3	10.1	6.6	79	445	445	winter	late-winter	5	41.378293 N -0.261327 W
